year,date,stage,course,type,distance_in_km,winner_name,country,stage_workload
1939,1939-07-23,12b,Saint-Raphaël to Monaco,Flat,122.0,Maurice Archambaud,Francia,24.400000000000002
1939,1939-07-24,13,Monaco to Monaco,Mountain,101.0,Pierre Gallien,Francia,101.0
1939,1939-07-25,14,Monaco to Digne,Flat,175.0,Pierre Cloarec,Francia,35.0
1939,1939-07-26,15,Digne to Briançon,Mountain,219.0,Sylvère Maes,Bélgica,219.0
1939,1939-07-27,16a,Briançon to Briançon,Mountain,126.0,Pierre Jaminet,Francia,126.0
1939,1939-07-27,16b,Bonneval to Bourg-Saint-Maurice,Mountain,64.0,Sylvère Maes,Bélgica,64.0
1939,1939-07-27,16c,Bourg-Saint-Maurice to Annecy,Flat,104.0,Antoon van Schendel,Países Bajos,20.8
1939,1939-07-29,17a,Annecy to Dôle,Mountain,226.0,François Neuens,Luxemburgo,226.0
1939,1939-07-29,17b,Dôle to Dijon,Individual time-trial,59.0,Maurice Archambaud,Francia,35.4
1939,1939-07-30,18a,Dijon to Troyes,Flat,151.0,René Le Grevès,Francia,30.200000000000003
1939,1939-07-30,18b,Troyes to Paris,Flat,201.0,Marcel Kint,Bélgica,40.2
1947,1947-06-25,1,Paris to Lille,Flat,236.0,Ferdinand Kübler,Suiza,47.2
1947,1947-06-26,2,Lille to Brussels (Belgium),Flat,182.0,René Vietto,Francia,36.4
1947,1947-06-27,3,Brussels (Belgium) to Luxembourg City (Luxembourg),Flat,314.0,Aldo Ronconi,Italia,62.800000000000004
1947,1947-06-28,4,Luxembourg City (Luxembourg) to Strasbourg,Flat,223.0,Jean Robic,Francia,44.6
1947,1947-06-29,5,Strasbourg to Besançon,Flat,248.0,Ferdinand Kübler,Suiza,49.6
1947,1947-07-01,6,Besançon to Lyon,Flat,249.0,Lucien Teisseire,Francia,49.800000000000004
1947,1947-07-02,7,Lyon to Grenoble,Mountain,172.0,Jean Robic,Francia,172.0
1947,1947-07-03,8,Grenoble to Briançon,Mountain,185.0,Fermo Camellini,Italia,185.0
1947,1947-07-05,9,Briançon to Digne,Mountain,217.0,René Vietto,Francia,217.0
1947,1947-07-06,10,Digne to Nice,Mountain,255.0,Fermo Camellini,Italia,255.0
1947,1947-07-08,11,Nice to Marseille,Flat,230.0,Édouard Fachleitner,Francia,46.0
1947,1947-07-09,12,Marseille to Montpellier,Flat,165.0,Henri Massal,Francia,33.0
1947,1947-07-10,13,Montpellier to Carcassonne,Flat,172.0,Lucien Teisseire,Francia,34.4
1947,1947-07-11,14,Carcassonne to Luchon,Mountain,253.0,Albert Bourlon,Francia,253.0
1947,1947-07-13,15,Luchon to Pau,Mountain,195.0,Jean Robic,Francia,195.0
1947,1947-07-14,16,Pau to Bordeaux,Flat,195.0,Giuseppe Tacca,Italia,39.0
1947,1947-07-15,17,Bordeaux to Les Sables-d'Olonne,Flat,272.0,Éloi Tassin,Francia,54.400000000000006
1947,1947-07-16,18,Les Sables-d'Olonne to Vannes,Flat,236.0,Pietro Tarchini,Suiza,47.2
1947,1947-07-18,19,Vannes to Saint-Brieuc,Individual time-trial,139.0,Raymond Impanis,Bélgica,83.39999999999999
1947,1947-07-19,20,Saint-Brieuc to Caen,Flat,235.0,Maurice Diot,Francia,47.0
1947,1947-07-20,21,Caen to Paris,Flat,257.0,Briek Schotte,Bélgica,51.400000000000006
1948,1948-06-30,1,Paris to Trouville,Flat,237.0,Gino Bartali,Italia,47.400000000000006
1948,1948-07-01,2,Trouville to Dinard,Flat,259.0,Vincenzo Rossello,Italia,51.800000000000004
1948,1948-07-02,3,Dinard to Nantes,Flat,251.0,Guy Lapébie,Francia,50.2
1948,1948-07-03,4,Nantes to La Rochelle,Flat,166.0,Jacques Pras,Francia,33.2
1948,1948-07-04,5,La Rochelle to Bordeaux,Flat,262.0,Raoul Rémy,Francia,52.400000000000006
1948,1948-07-05,6,Bordeaux to Biarritz,Flat,244.0,Louison Bobet,Francia,48.800000000000004
1948,1948-07-07,7,Biarritz to Lourdes,Mountain,219.0,Gino Bartali,Italia,219.0
1948,1948-07-08,8,Lourdes to Toulouse,Mountain,261.0,Gino Bartali,Italia,261.0
1948,1948-07-10,9,Toulouse to Montpellier,Flat,246.0,Raymond Impanis,Bélgica,49.2
1948,1948-07-11,10,Montpellier to Marseille,Flat,248.0,Raymond Impanis,Bélgica,49.6
1948,1948-07-12,11,Marseille to Sanremo,Flat,245.0,Gino Sciardis,Italia,49.0
1948,1948-07-13,12,Sanremo to Cannes,Mountain,170.0,Louison Bobet,Francia,170.0
1948,1948-07-15,13,Cannes to Briançon,Mountain,274.0,Gino Bartali,Italia,274.0
1948,1948-07-16,14,Briançon to Aix-les-Bains,Mountain,263.0,Gino Bartali,Italia,263.0
1948,1948-07-18,15,Aix-les-Bains to Lausanne,Mountain,256.0,Gino Bartali,Italia,256.0
1948,1948-07-19,16,Lausanne to Mulhouse,Mountain,243.0,Edward Van Dijck,Bélgica,243.0
1948,1948-07-21,17,Mulhouse to Strasbourg,Individual time-trial,120.0,Roger Lambrecht,Bélgica,72.0
1948,1948-07-22,18,Strasbourg to Metz,Flat,195.0,Giovanni Corrieri,Italia,39.0
1948,1948-07-23,19,Metz to Liège (Belgium),Flat,249.0,Gino Bartali,Italia,49.800000000000004
1948,1948-07-24,20,Liège (Belgium) to Roubaix,Flat,228.0,Bernard Gauthier,Francia,45.6
1948,1948-07-25,21,Roubaix to Paris,Flat,286.0,Giovanni Corrieri,Italia,57.2
1949,1949-06-30,1,Paris to Reims,Flat,182.0,Marcel Dussault,Francia,36.4
1949,1949-07-01,2,Reims to Brussels (Belgium),Flat,273.0,Roger Lambrecht,Bélgica,54.6
1949,1949-07-02,3,Brussels (Belgium) to Boulogne-sur-Mer,Flat,211.0,Norbert Callens,Bélgica,42.2
1949,1949-07-03,4,Boulogne-sur-Mer to Rouen,Flat,185.0,Lucien Teisseire,Francia,37.0
1949,1949-07-04,5,Rouen to Saint-Malo,Flat,293.0,Ferdinand Kübler,Suiza,58.6
1949,1949-07-05,6,Saint-Malo to Les Sables-d'Olonne,Flat,305.0,Adolphe Deledda,Francia,61.0
1949,1949-07-07,7,Les Sables-d'Olonne to La Rochelle,Individual time-trial,92.0,Fausto Coppi,Italia,55.199999999999996
1949,1949-07-08,8,La Rochelle to Bordeaux,Flat,262.0,Guy Lapébie,Francia,52.400000000000006
1949,1949-07-09,9,Bordeaux to San Sebastián (Spain),Flat,228.0,Louis Caput,Francia,45.6
1949,1949-07-10,10,San Sebastián (Spain) to Pau,Flat,192.0,Fiorenzo Magni,Italia,38.400000000000006
1949,1949-07-12,11,Pau to Luchon,Mountain,193.0,Jean Robic,Francia,193.0
1949,1949-07-13,12,Luchon to Toulouse,Flat,134.0,Rik Van Steenbergen,Bélgica,26.8
1949,1949-07-14,13,Toulouse to Nîmes,Flat,289.0,Emile Idée,Francia,57.800000000000004
1949,1949-07-15,14,Nîmes to Marseille,Flat,199.0,Jean Goldschmidt,Luxemburgo,39.800000000000004
1949,1949-07-16,15,Marseille to Cannes,Flat,215.0,Désiré Keteleer,Bélgica,43.0
1949,1949-07-18,16,Cannes to Briançon,Mountain,275.0,Gino Bartali,Italia,275.0
1949,1949-07-19,17,Briançon to Aosta,Mountain,257.0,Fausto Coppi,Italia,257.0
1949,1949-07-21,18,Aosta to Lausanne,Mountain,265.0,Vincenzo Rossello,Italia,265.0
1949,1949-07-22,19,Lausanne to Colmar,Mountain,283.0,Raphaël Géminiani,Francia,283.0
1949,1949-07-23,20,Colmar to Nancy,Mountain,137.0,Fausto Coppi,Italia,137.0
1949,1949-07-24,21,Nancy to Paris,Flat,340.0,Rik Van Steenbergen,Bélgica,68.0
1950,1950-07-13,1,Paris to Metz,Flat,307.0,Jean Goldschmit,Luxemburgo,61.400000000000006
1950,1950-07-14,2,Metz to Liège (Belgium),Flat,241.0,Adolfo Leoni,Italia,48.2
1950,1950-07-15,3,Liège (Belgium) to Lille,Flat,232.5,Alfredo Pasotti,Italia,46.5
1950,1950-07-16,4,Lille to Rouen,Flat,231.0,Stan Ockers,Bélgica,46.2
1950,1950-07-17,5,Rouen to Dinard,Flat,316.0,Giovanni Corrieri,Italia,63.2
1950,1950-07-19,6,Dinard to Saint-Brieuc,Individual time-trial,78.0,Ferdinand Kübler,Suiza,46.8
1950,1950-07-20,7,Saint-Brieuc to Angers,Flat,248.0,Nello Lauredi,Francia,49.6
1950,1950-07-21,8,Angers to Niort,Flat,181.0,Fiorenzo Magni,Italia,36.2
1950,1950-07-22,9,Niort to Bordeaux,Flat,206.0,Alfredo Pasotti,Italia,41.2
1950,1950-07-23,10,Bordeaux to Pau,Flat,202.0,Marcel Dussault,Francia,40.400000000000006
1950,1950-07-25,11,Pau to St. Gaudens,Mountain,230.0,Gino Bartali,Italia,230.0
1950,1950-07-26,12,Saint-Gaudens to Perpignan,Flat,233.0,Maurice Blomme,Bélgica,46.6
1950,1950-07-27,13,Perpignan to Nîmes,Flat,215.0,Marcel Molinès,Francia,43.0
1950,1950-07-28,14,Nîmes to Toulon,Flat,222.0,Custodio Dos Reis,Francia,44.400000000000006
1950,1950-07-29,15,Toulon to Menton[a],Mountain,205.5,Jean Diederich,Luxemburgo,205.5
1950,1950-07-30,16,Menton to Nice,Mountain,96.0,Ferdinand Kübler,Suiza,96.0
1950,1950-08-01,17,Nice to Gap,Mountain,229.0,Raphaël Géminiani,Francia,229.0
1950,1950-08-02,18,Gap to Briançon,Mountain,165.0,Louison Bobet,Francia,165.0
1950,1950-08-03,19,Briançon to Saint-Étienne,Mountain,291.0,Raphaël Géminiani,Francia,291.0
1950,1950-08-05,20,Saint-Étienne to Lyon,Mountain,98.0,Ferdinand Kübler,Suiza,98.0
1950,1950-08-06,21,Lyon to Dijon,Flat,233.0,Gino Sciardis,Francia,46.6
1950,1950-08-07,22,Dijon to Paris,Flat,314.0,Émile Baffert,Francia,62.800000000000004
1951,1951-07-04,1,Metz to Reims,Flat,185.0,Giovanni Rossi,Suiza,37.0
1951,1951-07-05,2,Reims to Ghent (Belgium),Flat,228.0,Jean Diederich,Luxemburgo,45.6
1951,1951-07-06,3,Ghent (Belgium) to Le Tréport,Flat,219.0,Georges Meunier,Francia,43.800000000000004
1951,1951-07-07,4,Le Tréport to Paris,Flat,188.0,Roger Lévêque,Francia,37.6
1951,1951-07-08,5,Paris to Caen,Flat,215.0,Serafino Biagioni,Italia,43.0
1951,1951-07-09,6,Caen to Rennes,Flat,182.0,Édouard Muller,Francia,36.4
1951,1951-07-10,7,La Guerche-de-Bretagne to Angers,Individual time-trial,85.0,Hugo Koblet,Suiza,51.0
1951,1951-07-11,8,Angers to Limoges,Flat,241.0,André Rosseel,Bélgica,48.2
1951,1951-07-13,9,Limoges to Clermont-Ferrand,Mountain,236.0,Raphaël Géminiani,Francia,236.0
1951,1951-07-14,10,Clermont-Ferrand to Brive,Mountain,216.0,Bernardo Ruiz,España,216.0
1951,1951-07-15,11,Brive to Agen,Flat,177.0,Hugo Koblet,Suiza,35.4
1951,1951-07-16,12,Agen to Dax,Flat,185.0,Wim van Est,Países Bajos,37.0
1951,1951-07-17,13,Dax to Tarbes,Mountain,201.0,Serafino Biagioni,Italia,201.0
1951,1951-07-18,14,Tarbes to Luchon,Mountain,142.0,Hugo Koblet,Suiza,142.0
1951,1951-07-19,15,Luchon to Carcassonne,Mountain,213.0,André Rosseel,Bélgica,213.0
1951,1951-07-20,16,Carcassonne to Montpellier,Flat,192.0,Hugo Koblet,Suiza,38.400000000000006
1951,1951-07-22,17,Montpellier to Avignon,Mountain,224.0,Louison Bobet,Francia,224.0
1951,1951-07-23,18,Avignon to Marseille,Flat,173.0,Fiorenzo Magni,Italia,34.6
1951,1951-07-24,19,Marseille to Gap,Mountain,208.0,Armand Baeyens,Bélgica,208.0
1951,1951-07-25,20,Gap to Briançon,Mountain,165.0,Fausto Coppi,Italia,165.0
1951,1951-07-26,21,Briançon to Aix-les-Bains,Mountain,201.0,Bernardo Ruiz,España,201.0
1951,1951-07-27,22,Aix-les-Bains to Geneva,Individual time-trial,97.0,Hugo Koblet,Suiza,58.199999999999996
1951,1951-07-28,23,Geneva to Dijon,Mountain,197.0,Germain Derycke,Bélgica,197.0
1951,1951-07-29,24,Dijon to Paris,Flat,322.0,Adolphe Deledda,Francia,64.4
1952,1952-06-25,1,Brest to Rennes,Flat,246.0,Rik Van Steenbergen,Bélgica,49.2
1952,1952-06-26,2,Rennes to Le Mans,Flat,181.0,André Rosseel,Bélgica,36.2
1952,1952-06-27,3,Le Mans to Rouen,Flat,189.0,Nello Lauredi,Francia,37.800000000000004
1952,1952-06-28,4,Rouen to Roubaix,Flat,232.0,Pierre Molinéris,Francia,46.400000000000006
1952,1952-06-29,5,Roubaix to Namur (Belgium),Flat,197.0,Jean Diederich,Luxemburgo,39.400000000000006
1952,1952-06-30,6,Namur (Belgium) to Metz,Flat,228.0,Fiorenzo Magni,Italia,45.6
1952,1952-07-01,7,Metz to Nancy,Individual time-trial,60.0,Fausto Coppi,Italia,36.0
1952,1952-07-02,8,Nancy to Mulhouse,Mountain,252.0,Raphaël Géminiani,Francia,252.0
1952,1952-07-03,9,Mulhouse to Lausanne,Mountain,238.0,Walter Diggelmann,Suiza,238.0
1952,1952-07-04,10,Lausanne to Alpe d'Huez,Mountain,266.0,Fausto Coppi,Italia,266.0
1952,1952-07-06,11,Le Bourg-d'Oisans to Sestriere (Italy),Mountain,182.0,Fausto Coppi,Italia,182.0
1952,1952-07-07,12,Sestriere (Italy) to Monaco,Mountain,251.0,Jan Nolten,Países Bajos,251.0
1952,1952-07-08,13,Monaco to Aix-en-Provence,Flat,214.0,Raoul Rémy,Francia,42.800000000000004
1952,1952-07-09,14,Aix-en-Provence to Avignon,Mountain,178.0,Jean Robic,Francia,178.0
1952,1952-07-10,15,Avignon to Perpignan,Flat,275.0,Georges Decaux,Francia,55.0
1952,1952-07-11,16,Perpignan to Toulouse,Flat,200.0,André Rosseel,Bélgica,40.0
1952,1952-07-13,17,Toulouse to Bagnères-de-Bigorre,Mountain,204.0,Raphaël Géminiani,Francia,204.0
1952,1952-07-14,18,Bagnères-de-Bigorre to Pau,Mountain,149.0,Fausto Coppi,Italia,149.0
1952,1952-07-15,19,Pau to Bordeaux,Flat,195.0,Hans Dekkers,Países Bajos,39.0
1952,1952-07-16,20,Bordeaux to Limoges,Flat,228.0,Jacques Vivier,Francia,45.6
1952,1952-07-17,21,Limoges to Puy de Dôme,Mountain,245.0,Fausto Coppi,Italia,245.0
1952,1952-07-18,22,Clermont-Ferrand to Vichy,Individual time-trial,63.0,Fiorenzo Magni,Italia,37.8
1952,1952-07-19,23,Vichy to Paris,Flat,354.0,Antonin Rolland,Francia,70.8
1953,1953-07-03,1,Strasbourg to Metz,Flat,195.0,Fritz Schär,Suiza,39.0
1953,1953-07-04,2,Metz to Liège (Belgium),Flat,227.0,Fritz Schär,Suiza,45.400000000000006
1953,1953-07-05,3,Liège (Belgium) to Lille,Flat,221.0,Stanislas Bober,Francia,44.2
1953,1953-07-06,4,Lille to Dieppe,Flat,188.0,Gerrit Voorting,Países Bajos,37.6
1953,1953-07-07,5,Dieppe to Caen,Flat,200.0,Jean Malléjac,Francia,40.0
1953,1953-07-08,6,Caen to Le Mans,Flat,206.0,Martin Van Geneugden,Bélgica,41.2
1953,1953-07-09,7,Le Mans to Nantes,Flat,181.0,Livio Isotti,Italia,36.2
1953,1953-07-10,8,Nantes to Bordeaux,Flat,345.0,Jan Nolten,Países Bajos,69.0
1953,1953-07-12,9,Bordeaux to Pau,Flat,197.0,Fiorenzo Magni,Italia,39.400000000000006
1953,1953-07-13,10,Pau to Cauterets,Mountain,103.0,Jesús Loroño,España,103.0
1953,1953-07-14,11,Cauterets to Luchon,Mountain,115.0,Jean Robic,Francia,115.0
1953,1953-07-15,12,Luchon to Albi,Flat,228.0,André Darrigade,Francia,45.6
1953,1953-07-16,13,Albi to Béziers,Mountain,189.0,Nello Lauredi,Francia,189.0
1953,1953-07-17,14,Béziers to Nîmes,Mountain,214.0,Bernard Quennehen,Francia,214.0
1953,1953-07-18,15,Nîmes to Marseille,Flat,173.0,Maurice Quentin,Francia,34.6
1953,1953-07-19,16,Marseille to Monaco,Mountain,236.0,Wim van Est,Países Bajos,236.0
1953,1953-07-21,17,Monaco to Gap,Mountain,261.0,Wout Wagtmans,Países Bajos,261.0
1953,1953-07-22,18,Gap to Briançon,Mountain,165.0,Louison Bobet,Francia,165.0
1953,1953-07-23,19,Briançon to Lyon,Mountain,227.0,Georges Meunier,Francia,227.0
1953,1953-07-24,20,Lyon to St. Etienne,Individual time-trial,70.0,Louison Bobet,Francia,42.0
1953,1953-07-25,21,St. Etienne to Montluçon,Flat,210.0,Wout Wagtmans,Países Bajos,42.0
1953,1953-07-26,22,Montluçon to Paris,Flat,328.0,Fiorenzo Magni,Italia,65.60000000000001
1954,1954-07-08,1,Amsterdam (Netherlands) to Brasschaat (Belgium),Flat,216.0,Wout Wagtmans,Países Bajos,43.2
1954,1954-07-09,2,Beveren (Belgium) to Lille,Flat,255.0,Louison Bobet,Francia,51.0
1954,1954-07-10,3,Lille to Rouen,Flat,219.0,Marcel Dussault,Francia,43.800000000000004
1954,1954-07-11,4a,Rouen to Circuit des Essarts,Team time-trial,10.4,Switzerland,Suiza,4.16
1954,1954-07-11,4b,Rouen to Caen,Flat,131.0,Wim van Est,Países Bajos,26.200000000000003
1954,1954-07-12,5,Caen to Saint-Brieuc,Flat,224.0,Ferdinand Kübler,Suiza,44.800000000000004
1954,1954-07-13,6,Saint-Brieuc to Brest,Flat,179.0,Dominique Forlini,Francia,35.800000000000004
1954,1954-07-14,7,Brest to Vannes,Flat,211.0,Jacques Vivier,Francia,42.2
1954,1954-07-15,8,Vannes to Angers,Flat,190.0,Fred De Bruyne,Bélgica,38.0
1954,1954-07-16,9,Angers to Bordeaux,Flat,343.0,Henk Faanhof,Países Bajos,68.60000000000001
1954,1954-07-18,10,Bordeaux to Bayonne,Flat,202.0,Gilbert Bauvin,Francia,40.400000000000006
1954,1954-07-19,11,Bayonne to Pau,Mountain,241.0,Stan Ockers,Bélgica,241.0
1954,1954-07-20,12,Pau to Luchon,Mountain,161.0,Gilbert Bauvin,Francia,161.0
1954,1954-07-21,13,Luchon to Toulouse,Flat,203.0,Fred De Bruyne,Bélgica,40.6
1954,1954-07-22,14,Toulouse to Millau,Mountain,225.0,Ferdinand Kübler,Suiza,225.0
1954,1954-07-23,15,Millau to Le Puy,Mountain,197.0,Dominique Forlini,Francia,197.0
1954,1954-07-24,16,Le Puy to Lyon,Mountain,194.0,Jean Forestier,Francia,194.0
1954,1954-07-26,17,Lyon to Grenoble,Mountain,182.0,Lucien Lazaridès,Francia,182.0
1954,1954-07-27,18,Grenoble to Briançon,Mountain,216.0,Louison Bobet,Francia,216.0
1954,1954-07-28,19,Briançon to Aix-les-Bains,Mountain,221.0,Jean Dotto,Francia,221.0
1954,1954-07-29,20,Aix les Bains to Besançon,Mountain,243.0,Lucien Teisseire,Francia,243.0
1954,1954-07-30,21a,Besançon to Épinal,Flat,134.0,François Mahé,Francia,26.8
1954,1954-07-30,21b,Epinal to Nancy,Individual time-trial,72.0,Louison Bobet,Francia,43.199999999999996
1954,1954-07-31,22,Nancy to Troyes,Flat,216.0,Fred De Bruyne,Bélgica,43.2
1954,1954-08-01,23,Troyes to Paris,Flat,180.0,Robert Varnajo,Francia,36.0
1955,1955-07-07,1a,Le Havre to Dieppe,Flat,102.0,Miguel Poblet,España,20.400000000000002
1955,1955-07-07,1b,Dieppe,Team time-trial,12.5,Netherlands,Países Bajos,5.0
1955,1955-07-08,2,Dieppe to Roubaix,Flat,204.0,Antonin Rolland,Francia,40.800000000000004
1955,1955-07-09,3,Roubaix to Namur (Belgium),Flat,210.0,Louison Bobet,Francia,42.0
1955,1955-07-10,4,Namur (Belgium) to Metz,Flat,225.0,Willy Kemp,Luxemburgo,45.0
1955,1955-07-11,5,Metz to Colmar,Flat,229.0,Roger Hassenforder,Francia,45.800000000000004
1955,1955-07-12,6,Colmar to Zürich (Switzerland),Flat,195.0,André Darrigade,Francia,39.0
1955,1955-07-13,7,Zürich (Switzerland) to Thonon-les-Bains,Flat,267.0,Jos Hinsen,Países Bajos,53.400000000000006
1955,1955-07-14,8,Thonon-les-Bains to Briançon,Mountain,253.0,Charly Gaul,Luxemburgo,253.0
1955,1955-07-15,9,Briançon to Monaco,Mountain,275.0,Raphaël Géminiani,Francia,275.0
1955,1955-07-17,10,Monaco to Marseille,Flat,240.0,Lucien Lazaridès,Francia,48.0
1955,1955-07-18,11,Marseille to Avignon,Mountain,198.0,Louison Bobet,Francia,198.0
1955,1955-07-19,12,Avignon to Millau,Mountain,240.0,Alessandro Fantini,Italia,240.0
1955,1955-07-20,13,Millau to Albi,Flat,205.0,Daan de Groot,Países Bajos,41.0
1955,1955-07-21,14,Albi to Narbonne,Mountain,156.0,Louis Caput,Francia,156.0
1955,1955-07-22,15,Narbonne to Ax-les-Thermes,Flat,151.0,Luciano Pezzi,Italia,30.200000000000003
1955,1955-07-24,16,Ax-les-Thermes to Toulouse,Flat,123.0,Rik Van Steenbergen,Bélgica,24.6
1955,1955-07-25,17,Toulouse to Saint-Gaudens,Mountain,250.0,Charly Gaul,Luxemburgo,250.0
1955,1955-07-26,18,Saint-Gaudens to Pau,Mountain,205.0,Jean Brankart,Bélgica,205.0
1955,1955-07-27,19,Pau to Bordeaux,Flat,195.0,Wout Wagtmans,Países Bajos,39.0
1955,1955-07-28,20,Bordeaux to Poitiers,Flat,243.0,Jean Forestier,Francia,48.6
1955,1955-07-29,21,Châtellerault to Tours,Individual time-trial,68.6,Jean Brankart,Bélgica,41.16
1955,1955-07-30,22,Tours to Paris,Flat,229.0,Miguel Poblet,España,45.800000000000004
1956,1956-07-05,1,Reims to Liège (Belgium),Flat,223.0,André Darrigade,Francia,44.6
1956,1956-07-06,2,Liège (Belgium) to Lille,Flat,217.0,Fred De Bruyne,Bélgica,43.400000000000006
1956,1956-07-07,3,Lille to Rouen,Flat,225.0,Arigo Padovan,Italia,45.0
1956,1956-07-08,4a,Circuit de Rouen-Les-Essarts,Individual time-trial,15.1,Charly Gaul,Luxemburgo,9.059999999999999
1956,1956-07-08,4b,Rouen to Caen,Flat,125.0,Roger Hassenforder,Francia,25.0
1956,1956-07-09,5,Caen to Saint-Malo,Flat,189.0,Joseph Morvan,Francia,37.800000000000004
1956,1956-07-10,6,Saint-Malo to Lorient,Flat,192.0,Fred De Bruyne,Bélgica,38.400000000000006
1956,1956-07-11,7,Lorient to Angers,Flat,244.0,Alessandro Fantini,Italia,48.800000000000004
1956,1956-07-12,8,Angers to La Rochelle,Flat,180.0,Miguel Poblet,España,36.0
1956,1956-07-13,9,La Rochelle to Bordeaux,Flat,219.0,Roger Hassenforder,Francia,43.800000000000004
1956,1956-07-15,10,Bordeaux to Bayonne,Flat,201.0,Fred De Bruyne,Bélgica,40.2
1956,1956-07-16,11,Bayonne to Pau,Mountain,255.0,Nino Defilippis,Italia,255.0
1956,1956-07-17,12,Pau to Luchon,Mountain,130.0,Jean-Pierre Schmitz,Luxemburgo,130.0
1956,1956-07-18,13,Luchon to Toulouse,Mountain,176.0,Nino Defilippis,Italia,176.0
1956,1956-07-19,14,Toulouse to Montpellier,Flat,231.0,Roger Hassenforder,Francia,46.2
1956,1956-07-20,15,Montpellier to Aix-en-Provence,Flat,204.0,Joseph Thomin,Francia,40.800000000000004
1956,1956-07-22,16,Aix-en-Provence to Gap,Mountain,203.0,Jean Forestier,Francia,203.0
1956,1956-07-23,17,Gap to Turin (Italy),Mountain,234.0,Nino Defilippis,Italia,234.0
1956,1956-07-24,18,Turin (Italy) to Grenoble,Mountain,250.0,Charly Gaul,Luxemburgo,250.0
1956,1956-07-25,19,Grenoble to Saint-Étienne,Mountain,173.0,Stan Ockers,Bélgica,173.0
1956,1956-07-26,20,Saint-Étienne to Lyon,Individual time-trial,73.0,Miguel Bover,España,43.8
1956,1956-07-27,21,Lyon to Montluçon,Mountain,237.0,Roger Hassenforder,Francia,237.0
1956,1956-07-28,22,Montluçon to Paris,Flat,331.0,Gastone Nencini,Italia,66.2
1957,1957-06-27,1,Nantes to Granville,Flat,204.0,André Darrigade,Francia,40.800000000000004
1957,1957-06-28,2,Granville to Caen,Flat,226.0,René Privat,Francia,45.2
1957,1957-06-29,3a,"Circuit de la Prairie, Caen",Team time-trial,15.0,France,Francia,6.0
1957,1957-06-29,3b,Caen to Rouen,Flat,134.0,Jacques Anquetil,Francia,26.8
1957,1957-06-30,4,Rouen to Roubaix,Flat,232.0,Marcel Janssens,Bélgica,46.400000000000006
1957,1957-07-01,5,Roubaix to Charleroi,Flat,170.0,Gilbert Bauvin,Francia,34.0
1957,1957-07-02,6,Charleroi to Metz,Flat,248.0,André Trochut,Francia,49.6
1957,1957-07-03,7,Metz to Colmar,Mountain,223.0,Roger Hassenforder,Francia,223.0
1957,1957-07-04,8,Colmar to Besançon,Flat,192.0,Pierino Baffi,Italia,38.400000000000006
1957,1957-07-05,9,Besançon to Thonon-les-Bains,Flat,188.0,Jacques Anquetil,Francia,37.6
1957,1957-07-07,10,Thonon-les-Bains to Briançon,Mountain,247.0,Gastone Nencini,Italia,247.0
1957,1957-07-08,11,Briançon to Cannes,Mountain,286.0,René Privat,Francia,286.0
1957,1957-07-09,12,Cannes to Marseille,Mountain,239.0,Jean Stablinski,Francia,239.0
1957,1957-07-10,13,Marseille to Alès,Flat,160.0,Nino Defilippis,Italia,32.0
1957,1957-07-11,14,Alès to Perpignan,Flat,246.0,Roger Hassenforder,Francia,49.2
1957,1957-07-12,15a,Perpignan to Barcelona (Spain),Flat,197.0,René Privat,Francia,39.400000000000006
1957,1957-07-12,15b,Montjuïc circuit (Spain),Individual time-trial,9.8,Jacques Anquetil,Francia,5.88
1957,1957-07-14,16,Barcelona (Spain) to Ax-les-Thermes,Mountain,220.0,Jean Bourlès,Francia,220.0
1957,1957-07-15,17,Ax-les-Thermes to Saint-Gaudens,Mountain,236.0,Nino Defilippis,Italia,236.0
1957,1957-07-16,18,Saint-Gaudens to Pau,Mountain,207.0,Gastone Nencini,Italia,207.0
1957,1957-07-17,19,Pau to Bordeaux,Flat,194.0,Pierino Baffi,Italia,38.800000000000004
1957,1957-07-18,20,Bordeaux to Libourne,Individual time-trial,66.0,Jacques Anquetil,Francia,39.6
1957,1957-07-19,21,Libourne to Tours,Flat,317.0,André Darrigade,Francia,63.400000000000006
1957,1957-07-20,22,Tours to Paris,Flat,227.0,André Darrigade,Francia,45.400000000000006
1958,1958-06-26,1,Brussels (Belgium) to Ghent (Belgium),Flat,184.0,André Darrigade,Francia,36.800000000000004
1958,1958-06-27,2,Ghent (Belgium) to Dunkirk,Flat,198.0,Gerrit Voorting,Países Bajos,39.6
1958,1958-06-28,3,Dunkirk to Mers-les-Bains,Flat,177.0,Gilbert Bauvin,Francia,35.4
1958,1958-06-29,4,Le Tréport to Versailles,Flat,205.0,Jean Gainche,Francia,41.0
1958,1958-06-30,5,Versailles to Caen,Flat,232.0,Tino Sabbadini,Francia,46.400000000000006
1958,1958-07-01,6,Caen to Saint-Brieuc,Flat,223.0,Martin van Geneugden,Bélgica,44.6
1958,1958-07-02,7,Saint-Brieuc to Brest,Flat,170.0,Brian Robinson,Reino Unido,34.0
1958,1958-07-03,8,Châteaulin,Individual time-trial,46.0,Charly Gaul,Luxemburgo,27.599999999999998
1958,1958-07-04,9,Quimper to Saint-Nazaire,Flat,206.0,André Darrigade,Francia,41.2
1958,1958-07-05,10,Saint-Nazaire to Royan,Flat,255.0,Pierino Baffi,Italia,51.0
